216,167,256
217,132,257
32,216,258
32,217,259
32,256,260
217,134,261
217,138,262
260,257,263
226,128,264
217,133,265
216,177,266
217,136,267
101,32,268
256,216,269
264,143,270
216,175,271
115,32,272
216,169,273
216,168,274
97,110,275
216,185,276
216,170,277
32,116,278
101,114,279
259,133,280
217,135,281
105,110,282
217,131,283
111,110,284
116,32,285
270,10,286
217,130,287
216,172,288
100,32,289
216,179,290
256,257,291
278,104,292
258,168,293
217,129,294
121,32,295
32,46,296
216,173,297
32,257,298
111,117,299
296,286,300
44,32,301
46,10,302
111,114,303
261,258,304
217,137,305
140,270,306
258,306,307
258,170,308
269,170,309
259,129,310
116,104,311
114,111,312
101,110,313
259,138,314
263,265,315
97,32,316
98,108,317
105,284,318
217,145,319
108,108,320
97,116,321
102,32,322
111,111,323
216,178,324
32,264,325
105,99,326
114,275,327
216,183,328
216,181,329
256,261,330
282,103,331
101,100,332
105,272,333
111,322,334
266,269,335
258,185,336
216,176,337
111,32,338
292,268,339
259,136,340
117,114,341
101,115,342
117,115,343
259,131,344
259,135,345
280,261,346
101,97,347
118,279,348
327,115,349
256,263,350
259,134,351
216,174,352
216,180,353
262,266,354
271,265,355
310,262,356
217,160,357
99,104,358
275,289,359
323,100,360
278,349,361
216,171,362
216,182,363
257,283,364
263,305,365
267,256,366
258,175,367
101,289,368
331,32,369
111,109,370
105,115,371
109,97,372
258,173,373
32,194,374
216,163,375
288,335,376
256,266,377
287,257,378
97,114,379
102,303,380
267,261,381
260,261,382
269,168,383
262,273,384
116,279,385
111,119,386
105,116,387
101,108,388
97,285,389
101,99,390
104,268,391
267,304,392
216,186,393
263,276,394
319,217,395
263,355,396
275,32,397
119,105,398
105,118,399
32,115,400
111,112,401
325,148,402
317,360,403
102,343,404
404,318,405
97,272,406
258,172,407
345,337,408
265,257,409
395,142,410
10,217,411
378,396,412
101,272,413
108,289,414
97,103,415
108,105,416
97,108,417
63,10,418
119,406,419
261,262,420
269,175,421
257,305,422
271,262,423
258,179,424
274,273,425
267,281,426
258,159,427
427,286,428
161,217,429
276,263,430
32,73,431
32,316,432
264,153,433
292,389,434
100,105,435
101,109,436
97,99,437
48,32,438
112,108,439
380,32,440
332,326,441
441,282,442
361,405,443
275,116,444
32,334,445
103,104,446
302,66,447
277,276,448
408,350,449
280,290,450
300,294,451
267,257,452
266,273,453
298,265,454
267,271,455
356,263,456
288,257,457
258,177,458
258,178,459
376,161,460
32,72,461
399,268,462
116,338,463
278,338,464
105,109,465
110,111,466
119,279,467
299,414,468
105,285,469
32,112,470
32,65,471
313,116,472
342,272,473
119,104,474
361,439,475
104,333,476
374,171,477
277,262,478
324,262,479
364,261,480
336,422,481
374,187,482
261,273,483
262,257,484
283,257,485
262,271,486
340,291,487
293,291,488
402,270,489
276,291,490
267,265,491
351,412,492
256,265,493
277,281,494
259,429,495
459,266,496
260,460,497
121,299,498
312,109,499
